property_state,origination_year,avg_interest_rate,default_rate_percent,avg_loss_severity,avg_cost_ratio
TX,2004,5.65,1.29,-0.003,-0.002
TX,2005,5.69,1.56,-0.004,-0.0025
TX,2006,6.37,2.53,-0.007,-0.0038
TX,2007,6.36,3.63,-0.01,-0.005
TX,2008,6.16,2.67,-0.008,-0.0034
TX,2009,5.07,0.46,-0.001,-0.0007
TX,2010,4.81,0.24,-0.001,-0.0004
TX,2011,4.48,0.14,-0.0,-0.0003
TX,2012,3.8,0.1,-0.0,-0.0002
TX,2013,3.72,0.08,-0.0,-0.0002
TX,2014,4.32,0.1,-0.0,-0.0002
TX,2015,3.98,0.1,-0.0,-0.0002
TX,2016,3.85,0.07,-0.0,-0.0001
TX,2017,4.14,0.06,-0.0,-0.0001
TX,2018,4.64,0.06,-0.0,-0.0001
TX,2019,4.38,0.03,-0.0,-0.0001
TX,2020,3.27,0.01,-0.0,-0.0
TX,2021,2.91,0.0,-0.0,-0.0
TX,2022,4.25,0.02,-0.0,-0.0
TX,2023,6.53,0.0,0.0,0.0
TX,2024,6.78,0.0,0.0,0.0
UT,1999,7.38,2.14,-0.002,-0.0012
UT,2000,8.22,2.17,-0.003,-0.0013
UT,2001,6.96,1.15,-0.001,-0.0008
UT,2002,6.33,0.76,-0.001,-0.0006
UT,2003,5.46,0.38,-0.0,-0.0003
UT,2004,5.61,0.61,-0.001,-0.0006
UT,2005,5.68,1.13,-0.003,-0.0008
UT,2006,6.37,2.9,-0.009,-0.0017
UT,2007,6.32,6.02,-0.018,-0.0031
UT,2008,6.05,5.11,-0.015,-0.0025
UT,2009,4.98,0.9,-0.003,-0.0004
UT,2010,4.75,0.68,-0.002,-0.0004
UT,2011,4.41,0.34,-0.001,-0.0002
UT,2012,3.76,0.16,-0.0,-0.0001
UT,2013,3.72,0.16,-0.0,-0.0001
UT,2014,4.35,0.05,-0.0,-0.0
UT,2015,3.99,0.01,-0.0,-0.0
UT,2016,3.8,0.01,-0.0,-0.0
UT,2017,4.12,0.0,-0.0,-0.0
UT,2018,4.59,0.01,-0.0,-0.0
UT,2019,4.21,0.01,-0.0,-0.0
UT,2020,3.22,0.0,-0.0,-0.0
UT,2021,2.9,0.0,0.0,0.0
UT,2022,4.07,0.01,-0.0,-0.0
UT,2023,6.48,0.01,0.0,0.0
UT,2024,6.72,0.0,0.0,0.0
VA,1999,7.25,0.3,-0.0,-0.0002
VA,2000,8.07,0.35,-0.001,-0.0003
VA,2001,6.95,0.26,-0.001,-0.0003
VA,2002,6.42,0.23,-0.001,-0.0003
VA,2003,5.52,0.19,-0.0,-0.0003
VA,2004,5.67,0.65,-0.002,-0.0008
VA,2005,5.73,2.34,-0.008,-0.0019
VA,2006,6.37,4.28,-0.018,-0.0033
VA,2007,6.32,5.64,-0.023,-0.0043
VA,2008,6.04,3.34,-0.014,-0.0028
VA,2009,4.99,0.65,-0.003,-0.0006
VA,2010,4.79,0.67,-0.003,-0.0007
VA,2011,4.46,0.56,-0.002,-0.0005
VA,2012,3.83,0.44,-0.001,-0.0004
VA,2013,3.71,0.34,-0.001,-0.0004
VA,2014,4.36,0.28,-0.001,-0.0004
VA,2015,3.97,0.17,-0.001,-0.0003
VA,2016,3.79,0.08,-0.0,-0.0001
VA,2017,4.05,0.09,-0.0,-0.0001
VA,2018,4.54,0.07,-0.0,-0.0002
VA,2019,4.23,0.01,-0.0,-0.0
VA,2020,3.18,0.0,-0.0,-0.0
VA,2021,2.87,0.0,-0.0,-0.0
VA,2022,4.13,0.01,-0.0,-0.0
VA,2023,6.59,0.0,-0.0,-0.0
VA,2024,6.84,0.0,0.0,0.0
VI,1999,7.76,0.0,0.0,0.0
VI,2000,8.59,0.0,0.0,0.0
VI,2001,7.12,0.0,0.0,0.0
VI,2002,6.88,0.0,0.0,0.0
VI,2003,6.2,0.0,0.0,0.0
VI,2004,6.31,1.5,-0.008,-0.0002
VI,2005,6.07,2.0,0.0,0.0
VI,2006,6.73,0.0,-0.012,0.0
VI,2007,6.59,4.55,-0.022,-0.0031
VI,2008,6.4,1.47,-0.021,-0.003
VI,2009,5.19,3.3,-0.018,-0.0031
VI,2010,5.16,0.0,0.0,0.0
VI,2011,4.85,0.0,0.0,0.0
VI,2012,4.14,0.0,-0.02,-0.0001
VI,2013,4.27,0.0,0.0,0.0
VI,2014,4.57,0.0,0.0,0.0
VI,2015,4.18,0.0,0.0,0.0
VI,2016,3.93,0.0,0.0,0.0
VI,2017,4.29,0.0,0.0,0.0
VI,2018,4.83,0.0,0.0,0.0
VI,2019,4.79,0.0,0.0,0.0
VI,2020,3.69,0.0,0.0,0.0
VI,2021,3.23,0.0,0.0,0.0
VI,2022,4.61,0.0,0.0,0.0
VI,2023,7.16,0.0,0.0,0.0
VI,2024,7.59,0.0,0.0,0.0
VT,1999,7.41,0.17,0.0,-0.0002
VT,2000,8.22,0.12,-0.001,-0.0005
VT,2001,7.03,0.22,-0.001,-0.0006
VT,2002,6.47,0.14,-0.001,-0.0005
VT,2003,5.58,0.21,-0.001,-0.0007
VT,2004,5.72,0.69,-0.003,-0.0014
VT,2005,5.8,1.48,-0.01,-0.0033
VT,2006,6.46,2.19,-0.014,-0.004
VT,2007,6.43,2.34,-0.019,-0.0045
VT,2008,6.09,1.43,-0.011,-0.0027
VT,2009,5.02,0.58,-0.004,-0.0009
VT,2010,4.74,0.36,-0.003,-0.0008
VT,2011,4.38,0.55,-0.003,-0.001
VT,2012,3.7,0.23,-0.001,-0.0003
VT,2013,3.54,0.28,-0.001,-0.0004
VT,2014,4.2,0.26,-0.002,-0.0007
VT,2015,3.81,0.15,-0.001,-0.0002
VT,2016,3.62,0.1,-0.0,-0.0003
VT,2017,3.92,0.03,-0.0,-0.0
VT,2018,4.44,0.06,-0.0,-0.0004
VT,2019,4.2,0.0,-0.0,-0.0
VT,2020,3.2,0.0,0.0,0.0
VT,2021,2.9,0.0,0.0,0.0
VT,2022,4.11,0.0,0.0,0.0
VT,2023,6.63,0.0,0.0,0.0
VT,2024,6.89,0.0,0.0,0.0
WA,1999,7.3,0.93,-0.001,-0.0009
WA,2000,8.12,1.0,-0.002,-0.001
WA,2001,6.92,0.63,-0.001,-0.0006
WA,2002,6.39,0.36,-0.001,-0.0004
WA,2003,5.5,0.28,-0.001,-0.0005
WA,2004,5.64,0.64,-0.002,-0.001
WA,2005,5.68,1.56,-0.006,-0.002
WA,2006,6.33,3.45,-0.016,-0.0034
WA,2007,6.29,5.66,-0.028,-0.0052
WA,2008,5.99,4.52,-0.021,-0.0039
WA,2009,4.97,1.21,-0.005,-0.001
WA,2010,4.83,1.21,-0.005,-0.001
WA,2011,4.51,0.78,-0.003,-0.0006
WA,2012,3.88,0.47,-0.002,-0.0004
WA,2013,3.75,0.27,-0.001,-0.0003
WA,2014,4.37,0.09,-0.0,-0.0001
WA,2015,4.01,0.02,-0.0,-0.0
WA,2016,3.85,0.01,-0.0,-0.0
WA,2017,4.12,0.02,-0.0,-0.0
WA,2018,4.63,0.02,-0.0,-0.0
WA,2019,4.29,0.0,-0.0,-0.0
WA,2020,3.27,0.0,-0.0,-0.0
WA,2021,2.93,0.0,-0.0,-0.0
WA,2022,4.16,0.01,-0.0,-0.0
WA,2023,6.62,0.0,-0.0,-0.0
WA,2024,6.81,0.0,0.0,0.0
WA,2025,6.96,0.0,0.0,0.0
WI,1999,7.46,0.44,-0.001,-0.0006
WI,2000,8.29,0.53,-0.002,-0.0007
WI,2001,7.02,0.37,-0.001,-0.0005
WI,2002,6.35,0.41,-0.001,-0.0006
WI,2003,5.49,0.69,-0.003,-0.0011
WI,2004,5.62,1.83,-0.008,-0.0028
WI,2005,5.75,3.53,-0.018,-0.005
WI,2006,6.45,4.44,-0.026,-0.0063
WI,2007,6.39,4.8,-0.029,-0.0065
WI,2008,5.98,2.83,-0.016,-0.0042
WI,2009,4.99,0.78,-0.004,-0.001
WI,2010,4.66,0.69,-0.004,-0.001
WI,2011,4.25,0.49,-0.002,-0.0008
WI,2012,3.64,0.35,-0.002,-0.0006
WI,2013,3.52,0.32,-0.002,-0.0007
WI,2014,4.22,0.27,-0.002,-0.0006
WI,2015,3.84,0.13,-0.001,-0.0003
WI,2016,3.66,0.08,-0.0,-0.0002
WI,2017,3.96,0.03,-0.0,-0.0001
WI,2018,4.52,0.06,-0.0,-0.0002
WI,2019,4.23,0.03,-0.0,-0.0001
WI,2020,3.18,0.01,0.0,-0.0
WI,2021,2.9,0.01,-0.0,-0.0
WI,2022,4.21,0.0,-0.0,-0.0
WI,2023,6.75,0.0,0.0,0.0
WI,2024,6.9,0.0,0.0,0.0
WI,2025,6.82,0.0,0.0,0.0
WV,1999,7.42,1.47,-0.005,-0.0015
WV,2000,8.24,2.15,-0.009,-0.0012
WV,2001,7.04,2.68,-0.013,-0.0024
WV,2002,6.51,3.7,-0.02,-0.0036
WV,2003,5.56,1.48,-0.007,-0.0017
WV,2004,5.72,2.24,-0.011,-0.0028
WV,2005,5.79,3.8,-0.017,-0.0032
WV,2006,6.47,5.48,-0.028,-0.0047
WV,2007,6.43,6.17,-0.032,-0.005
WV,2008,6.09,3.36,-0.018,-0.0035
WV,2009,5.03,0.76,-0.004,-0.0008
WV,2010,4.81,0.98,-0.005,-0.0012
WV,2011,4.49,0.52,-0.002,-0.0006
WV,2012,3.8,0.66,-0.004,-0.0007
WV,2013,3.64,0.38,-0.002,-0.0004
WV,2014,4.31,0.63,-0.004,-0.0015
WV,2015,3.97,0.49,-0.003,-0.0014
WV,2016,3.82,0.5,-0.002,-0.0007
WV,2017,4.04,0.34,-0.002,-0.0006
WV,2018,4.53,0.22,-0.001,-0.0004
WV,2019,4.37,0.19,-0.0,-0.0003
WV,2020,3.31,0.03,-0.0,-0.0001
WV,2021,2.94,0.05,-0.0,-0.0001
WV,2022,4.21,0.02,0.0,-0.0
WV,2023,6.67,0.0,0.0,0.0
WV,2024,6.96,0.0,0.0,0.0
WY,1999,7.36,0.66,-0.002,-0.0004
WY,2000,8.14,0.63,-0.0,-0.0
WY,2001,6.97,0.37,-0.0,-0.0003
WY,2002,6.42,0.39,-0.0,-0.0002
WY,2003,5.46,0.34,-0.0,-0.0003
WY,2004,5.59,0.72,-0.002,-0.0006
WY,2005,5.68,0.97,-0.001,-0.0007
WY,2006,6.37,2.48,-0.006,-0.002
WY,2007,6.37,4.73,-0.013,-0.0034
WY,2008,6.12,4.22,-0.013,-0.003
WY,2009,5.04,0.84,-0.002,-0.0006
WY,2010,4.81,0.89,-0.002,-0.0006
WY,2011,4.43,0.46,-0.001,-0.0004
WY,2012,3.73,0.58,-0.001,-0.0002
WY,2013,3.68,0.5,-0.001,-0.0005
WY,2014,4.29,0.81,-0.001,-0.0008
WY,2015,3.95,0.37,-0.0,-0.0002
WY,2016,3.77,0.15,-0.0,-0.0001
WY,2017,3.99,0.09,-0.0,-0.0002
WY,2018,4.48,0.05,-0.0,-0.0
WY,2019,4.23,0.08,-0.0,-0.0001
WY,2020,3.2,0.04,-0.0,-0.0
WY,2021,2.88,0.0,0.0,0.0
WY,2022,4.15,0.03,0.0,0.0
WY,2023,6.59,0.0,0.0,0.0
WY,2024,6.81,0.0,0.0,0.0
